vehicle	0
1	44
2	410
3	84
4	52
5	824
6	114
7	167
8	123
9	118
10	74
11	238
12	268
13	45
14	896
15	284
16	193
17	47
18	146
19	188
20	71
21	276
22	118
23	232
24	49
25	39
26	65
27	709
28	645
29	268
30	214
31	410
32	57
33	709
34	82
35	56
36	578
37	63
38	159
39	518
40	152
41	118
42	970
43	65
44	226
45	917
46	82
47	396
48	42
49	96
50	74
51	142
52	382
53	123
54	58
55	62
56	67
57	109
58	29
59	2446
60	44
61	188
62	312
63	805
64	203
65	396
66	70
67	159
68	57
69	410
70	35
71	184
72	782
73	179
74	52
75	226
76	203
77	36
78	121
79	131
80	35
81	126
82	344
83	518
84	109
85	134
86	126
87	128
88	198
89	37
90	123
91	45
92	2361
93	33
94	112
95	645
96	62
97	64
98	312
99	159
100	34



vehicle	1
1	44
2	408
3	83
4	51
5	819
6	113
7	166
8	122
9	118
10	73
11	237
12	266
13	45
14	891
15	283
16	192
17	46
18	145
19	187
20	71
21	274
22	118
23	231
24	49
25	39
26	65
27	705
28	641
29	266
30	213
31	408
32	57
33	705
34	82
35	56
36	575
37	63
38	158
39	516
40	151
41	118
42	964
43	65
44	224
45	912
46	82
47	394
48	42
49	96
50	73
51	142
52	380
53	122
54	58
55	61
56	67
57	109
58	29
59	2433
60	44
62	310
63	801
64	202
65	394
66	70
67	158
68	56
69	408
70	35
71	183
72	778
73	178
74	51
75	224
76	202
77	36
78	120
79	130
80	35
81	125
82	343
83	516
84	109
85	133
86	125
87	128
88	197
89	37
90	122
91	45
92	2349
93	32
94	111
95	641
96	62
97	64
98	310
99	158
100	33



vehicle	2
1	44
2	407
3	83
4	51
5	816
6	113
7	165
8	122
9	117
10	73
11	236
13	45
14	887
15	282
16	191
17	46
18	144
19	186
20	71
21	273
22	117
23	230
24	48
25	39
26	65
27	702
28	639
29	265
30	212
31	407
32	57
33	702
34	82
35	55
36	573
37	63
38	158
39	514
40	151
41	117
42	961
43	65
44	224
45	909
46	82
47	392
48	42
49	95
50	73
51	141
52	378
53	122
54	58
55	61
56	67
57	108
58	29
59	2424
60	43
62	309
63	798
64	201
65	392
66	70
67	158
68	56
69	407
70	34
71	182
72	775
73	178
74	51
75	224
76	201
77	36
78	120
79	130
80	34
81	124
82	341
83	514
84	108
85	132
86	124
87	127
88	196
89	37
90	122
91	44
92	2340
93	32
94	111
95	639
96	62
97	64
98	309
99	158
100	33



vehicle	3
1	44
2	406
3	83
4	51
5	815
6	113
7	165
8	122
9	117
10	73
11	236
13	45
14	886
15	281
16	191
17	46
18	144
19	186
20	71
21	273
22	117
23	229
24	48
25	38
26	65
27	701
29	265
30	212
31	406
32	57
33	701
34	82
35	55
36	572
37	63
38	158
39	513
40	151
41	117
42	959
43	65
44	223
45	907
46	82
47	392
48	42
49	95
50	73
51	141
52	378
53	122
54	58
55	61
56	67
57	108
58	29
59	2420
60	43
62	309
63	797
64	201
65	392
66	70
67	158
68	56
69	406
70	34
71	182
72	774
73	177
74	51
75	223
76	201
77	36
78	119
79	129
80	34
81	124
82	341
83	513
84	108
85	132
86	124
87	127
88	196
89	37
90	122
91	44
92	2336
93	32
94	110
95	638
96	62
97	64
98	309
99	158
100	33



vehicle	4
1	44
2	406
3	83
4	51
5	815
6	113
7	165
8	122
9	117
10	73
11	236
13	45
14	886
15	281
16	191
17	46
18	144
19	186
20	71
21	273
22	117
23	229
24	48
25	38
26	65
27	701
29	265
30	212
31	406
32	57
33	701
34	82
35	55
36	571
37	63
38	157
39	513
40	151
41	117
42	959
43	65
44	223
45	907
46	82
47	391
48	42
49	95
50	73
51	141
52	378
53	122
54	58
55	61
56	67
57	108
58	29
60	43
62	309
63	796
64	201
65	391
66	70
67	157
68	56
69	406
70	34
71	182
72	774
73	177
74	51
75	223
76	201
77	36
78	119
79	129
80	34
81	124
82	341
83	513
84	108
85	132
86	124
87	127
88	196
89	37
90	122
91	44
92	2336
93	32
94	110
95	638
96	62
97	64
98	309
99	157
100	33



vehicle	5
1	43
2	403
3	82
4	51
5	809
6	112
7	164
8	121
9	116
10	72
11	234
13	45
14	880
15	279
16	189
17	46
19	185
20	70
21	271
22	116
23	228
24	48
25	38
26	64
27	696
29	263
30	210
31	403
32	56
33	696
34	81
35	55
36	567
37	62
38	156
39	509
40	149
41	116
42	952
43	64
44	222
45	901
46	81
47	389
48	41
49	95
50	72
51	140
52	375
53	121
54	57
55	60
56	66
57	108
58	28
60	43
62	307
63	791
64	199
65	389
66	69
67	156
68	56
69	403
70	34
71	180
72	768
73	176
74	51
75	222
76	199
77	35
78	119
79	129
80	34
81	123
82	338
83	509
84	108
85	131
86	123
87	126
88	194
89	36
90	121
91	44
92	2319
93	32
94	110
95	633
96	61
97	63
98	307
99	156
100	33



vehicle	6
1	43
2	402
3	82
4	50
5	807
6	111
7	163
8	121
9	116
10	72
11	234
13	44
14	877
15	278
16	189
17	46
19	184
20	70
21	270
22	116
23	227
24	48
25	38
26	64
27	694
29	262
30	210
31	402
32	56
33	694
34	81
35	55
36	566
37	62
38	156
39	508
40	149
41	116
42	950
43	64
44	221
45	898
46	81
48	41
49	94
50	72
51	140
52	374
53	121
54	57
55	60
56	66
57	107
58	28
60	43
62	306
63	789
64	199
65	388
66	69
67	156
68	55
69	402
70	34
71	180
72	766
73	175
74	50
75	221
76	199
77	35
78	118
79	128
80	34
81	123
82	337
83	508
84	107
85	131
86	123
87	126
88	194
89	36
90	121
91	44
92	2313
93	32
94	109
95	632
96	61
97	63
98	306
99	156
100	33



vehicle	7
1	43
2	402
3	82
4	50
5	807
6	111
7	163
8	121
9	116
10	72
11	234
13	44
14	877
15	278
16	189
17	46
19	184
20	70
21	270
22	116
23	227
24	48
25	38
26	64
27	694
29	262
30	209
31	402
32	56
33	694
34	81
35	55
36	566
37	62
38	156
39	508
40	149
41	116
42	949
43	64
44	221
45	898
46	81
48	41
49	94
50	72
51	139
52	374
53	121
54	57
55	60
56	66
57	107
58	28
60	43
62	306
63	789
64	199
65	388
66	69
67	156
68	55
69	402
70	34
71	180
72	766
73	175
74	50
75	221
76	199
77	35
78	118
79	128
80	34
81	123
82	337
83	508
84	107
85	131
86	123
87	126
88	194
89	36
90	121
91	44
93	32
94	109
95	631
96	61
97	63
98	306
99	156
100	33



vehicle	8
1	43
2	400
3	82
4	50
5	802
6	111
7	162
8	120
9	115
10	72
11	232
13	44
14	872
15	277
16	188
17	45
19	183
20	70
21	268
22	115
23	226
24	48
25	38
26	64
27	690
29	261
30	208
31	400
32	56
33	690
34	80
35	54
36	563
37	62
38	155
39	505
40	148
41	115
42	944
43	64
44	220
45	893
46	80
48	41
49	94
50	72
51	139
52	372
53	120
54	57
55	60
56	65
57	107
58	28
60	43
62	304
63	784
64	198
65	385
66	68
67	155
68	55
69	400
70	34
71	179
72	762
74	50
75	220
76	198
77	35
78	117
79	127
80	34
81	122
82	335
83	505
84	107
85	130
86	122
87	125
88	193
89	36
90	120
91	44
93	32
94	109
95	628
96	61
97	63
98	304
99	155
100	33



vehicle	9
1	43
2	399
3	81
4	50
5	800
6	110
7	162
8	120
9	115
10	72
11	232
13	44
14	870
15	276
16	187
17	45
19	183
20	69
21	268
22	115
23	225
24	48
25	38
26	63
27	688
29	260
30	208
32	56
33	688
34	80
35	54
36	561
37	62
38	155
39	503
40	148
41	115
42	942
43	63
44	219
45	890
46	80
48	41
49	93
50	72
51	138
52	371
53	120
54	57
55	60
56	65
57	106
58	28
60	42
62	303
63	782
64	197
65	384
66	68
67	155
68	55
69	399
70	34
71	178
72	760
74	50
75	219
76	197
77	35
78	117
79	127
80	34
81	122
82	334
83	503
84	106
85	130
86	122
87	125
